vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
Y-G-3__90519,0,0,0,0,0,0,1.189813,5.632084,26.787569,0.033682,0,0
Y-G-3__90605,0,0,0,0,0,0,0,0,12.739382,0,0,0
Y-G-3__90618,0,0,0,0,0,0,0,7.198432,20.789548,0,0,0
Y-G-3__90626,32.954571,121.418508,0,0,0,0,130.764883,19.266382,3118.4319,0,0,0
Y-G-3__90635,0,0,0,0,0,0,5.860293,16.718432,2.473861,0,0,10.677825
Y-G-3__90668,0.534124,0,0.089719,0,0,0,2.074307,5.009652,27.628257,0,0,0
Y-G-3__90727,0.159939,0,2.44478,0,0,0,1.153535,0.928633,55.811786,0,0,0
Y-G-3__908,0,0,0,0,0,0,8.803471,3.528459,4.61397,0,0,0
Y-G-3__9084,0,0,0,0,0,0,0,0.801143,12.300978,0,0,0
Y-G-3__90909,0,0,0,0,0,0,0,0,28.535134,0,0,0
Y-G-3__90913,0,0,1.101594,0,0,0,22.359067,39.339126,55.129156,0,0,0
Y-G-3__91006,8.028046,0,5.892641,0,0,13.391171,0,80.846635,22.29569,0.206607,0,6.865692
